epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1367.34,0.36511,3.43858,0.88683,0.23928,0.37099,0.14849,0.14362,0.15558,2.99776,0.78962,0.000766765,0.000255588,0.000766765,0.000255588,0.000766765,0.000255588,0.000766765,0.000255588
2,2216.04,0.29309,2.68459,0.86664,0.2758,0.64989,0.42641,0.4235,0.16383,2.17621,0.80736,0.00152056,0.000506853,0.00152056,0.000506853,0.00152056,0.000506853,0.00152056,0.000506853
3,2933.35,0.26255,1.85713,0.85411,0.94146,0.9307,0.98073,0.975,0.15334,1.04326,0.79394,0.00225913,0.000753043,0.00225913,0.000753043,0.00225913,0.000753043,0.00225913,0.000753043
4,3611.76,0.23367,1.09944,0.83734,0.99773,0.99768,0.995,0.99307,0.12944,0.67321,0.78448,0.00223848,0.000746161,0.00223848,0.000746161,0.00223848,0.000746161,0.00223848,0.000746161
5,4276.64,0.20377,0.82413,0.82851,0.99948,1,0.995,0.99423,0.10921,0.56858,0.78022,0.00221564,0.000738548,0.00221564,0.000738548,0.00221564,0.000738548,0.00221564,0.000738548
6,4943.15,0.19146,0.732,0.82579,0.9994,1,0.995,0.99399,0.11036,0.53945,0.77895,0.0021928,0.000730935,0.0021928,0.000730935,0.0021928,0.000730935,0.0021928,0.000730935
7,5622.04,0.17932,0.65915,0.8249,0.99931,0.99979,0.995,0.99487,0.10421,0.49721,0.77775,0.00216996,0.000723321,0.00216996,0.000723321,0.00216996,0.000723321,0.00216996,0.000723321
8,6302.15,0.17093,0.61174,0.81966,0.9994,1,0.995,0.995,0.09289,0.47537,0.77552,0.00214712,0.000715708,0.00214712,0.000715708,0.00214712,0.000715708,0.00214712,0.000715708
9,6961.29,0.16229,0.56904,0.81628,0.99946,1,0.995,0.995,0.0921,0.44743,0.7747,0.00212429,0.000708095,0.00212429,0.000708095,0.00212429,0.000708095,0.00212429,0.000708095
10,7616.79,0.1599,0.54113,0.81854,0.99936,1,0.995,0.995,0.08747,0.43281,0.77446,0.00210145,0.000700482,0.00210145,0.000700482,0.00210145,0.000700482,0.00210145,0.000700482
11,8270.9,0.15674,0.5239,0.81498,0.99951,1,0.995,0.99498,0.08923,0.41923,0.7737,0.00207861,0.000692869,0.00207861,0.000692869,0.00207861,0.000692869,0.00207861,0.000692869
12,8935.29,0.14978,0.49237,0.81394,0.99953,1,0.995,0.99498,0.08795,0.40147,0.773,0.00205577,0.000685256,0.00205577,0.000685256,0.00205577,0.000685256,0.00205577,0.000685256
