epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1671.58,0.36295,3.50427,0.89518,0.19443,0.13786,0.11387,0.10958,0.18156,3.19241,0.80087,0.000712336,0.000237445,0.000712336,0.000237445,0.000712336,0.000237445,0.000712336,0.000237445
2,2714.84,0.28718,2.78461,0.8754,0.34384,0.55321,0.41786,0.41521,0.17733,2.31902,0.79848,0.00135573,0.000451911,0.00135573,0.000451911,0.00135573,0.000451911,0.00135573,0.000451911
3,3583.18,0.26471,2.034,0.86844,0.93473,0.90248,0.96914,0.96218,0.17977,1.13416,0.79713,0.00192844,0.000642814,0.00192844,0.000642814,0.00192844,0.000642814,0.00192844,0.000642814
4,4404.32,0.23398,1.19169,0.8509,0.99916,1,0.995,0.99446,0.15008,0.67763,0.78156,0.00182391,0.000607971,0.00182391,0.000607971,0.00182391,0.000607971,0.00182391,0.000607971
5,5222.99,0.20747,0.88504,0.83965,0.99938,1,0.995,0.99488,0.12522,0.60279,0.76965,0.00171788,0.000572628,0.00171788,0.000572628,0.00171788,0.000572628,0.00171788,0.000572628
6,6031.16,0.19009,0.76401,0.83014,0.99959,1,0.995,0.995,0.1118,0.56983,0.76715,0.00161185,0.000537285,0.00161185,0.000537285,0.00161185,0.000537285,0.00161185,0.000537285
7,6803.15,0.17565,0.69259,0.82396,0.99955,1,0.995,0.995,0.10702,0.54422,0.76584,0.00150583,0.000501942,0.00150583,0.000501942,0.00150583,0.000501942,0.00150583,0.000501942
8,7578.85,0.16779,0.64187,0.82361,0.99951,1,0.995,0.995,0.09467,0.52274,0.76228,0.0013998,0.000466599,0.0013998,0.000466599,0.0013998,0.000466599,0.0013998,0.000466599
9,8347.03,0.16012,0.60561,0.82281,0.99936,1,0.995,0.995,0.09822,0.50543,0.76337,0.00129377,0.000431256,0.00129377,0.000431256,0.00129377,0.000431256,0.00129377,0.000431256
10,9122.24,0.15161,0.58113,0.81839,0.99961,1,0.995,0.995,0.08951,0.48246,0.76118,0.00118774,0.000395913,0.00118774,0.000395913,0.00118774,0.000395913,0.00118774,0.000395913
11,9888.95,0.11193,0.59636,0.7723,0.99938,1,0.995,0.995,0.093,0.47089,0.75915,0.00108171,0.00036057,0.00108171,0.00036057,0.00108171,0.00036057,0.00108171,0.00036057
12,10654.4,0.10362,0.56238,0.76676,0.99957,1,0.995,0.995,0.08594,0.44432,0.75813,0.000975681,0.000325227,0.000975681,0.000325227,0.000975681,0.000325227,0.000975681,0.000325227
13,11423.9,0.10022,0.54235,0.76726,0.9996,1,0.995,0.995,0.08251,0.42969,0.75815,0.000869652,0.000289884,0.000869652,0.000289884,0.000869652,0.000289884,0.000869652,0.000289884
14,12182.4,0.09614,0.52244,0.76589,0.99961,1,0.995,0.995,0.07905,0.41595,0.75751,0.000763623,0.000254541,0.000763623,0.000254541,0.000763623,0.000254541,0.000763623,0.000254541
15,12950.8,0.09303,0.51015,0.76269,0.9996,1,0.995,0.995,0.07583,0.40538,0.75693,0.000657594,0.000219198,0.000657594,0.000219198,0.000657594,0.000219198,0.000657594,0.000219198
16,13728,0.08979,0.4989,0.7636,0.99965,1,0.995,0.995,0.07312,0.39877,0.75614,0.000551565,0.000183855,0.000551565,0.000183855,0.000551565,0.000183855,0.000551565,0.000183855
17,14486.4,0.08718,0.48537,0.76448,0.99956,1,0.995,0.995,0.07253,0.39235,0.75658,0.000445536,0.000148512,0.000445536,0.000148512,0.000445536,0.000148512,0.000445536,0.000148512
18,15248.8,0.08419,0.47781,0.76309,0.99957,1,0.995,0.995,0.07067,0.38834,0.75635,0.000339507,0.000113169,0.000339507,0.000113169,0.000339507,0.000113169,0.000339507,0.000113169
19,16017.1,0.08194,0.47198,0.7657,0.99963,1,0.995,0.995,0.0705,0.38292,0.75632,0.000233478,7.7826e-05,0.000233478,7.7826e-05,0.000233478,7.7826e-05,0.000233478,7.7826e-05
20,16780.4,0.08147,0.46919,0.76471,0.99962,1,0.995,0.995,0.06693,0.37734,0.75604,0.000127449,4.2483e-05,0.000127449,4.2483e-05,0.000127449,4.2483e-05,0.000127449,4.2483e-05
