epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,10169.9,0.10291,0.10509,0.7675,0.9996,0.99848,0.99457,0.99212,0.08632,0.07435,0.7817,0.00999983,0.00333328,0.00999983,0.00333328,0.00999983,0.00333328,0.00999983,0.00333328
2,18464.8,0.11826,0.14949,0.77174,0.99964,0.99851,0.9946,0.99199,0.08708,0.06858,0.78128,0.0180198,0.00600662,0.0180198,0.00600662,0.0180198,0.00600662,0.0180198,0.00600662
3,26252.6,0.13182,0.20191,0.77617,0.99956,0.99839,0.99453,0.99187,0.08944,0.07136,0.78089,0.0240599,0.00801995,0.0240599,0.00801995,0.0240599,0.00801995,0.0240599,0.00801995
4,33898.9,0.13665,0.20305,0.77809,0.99953,0.99818,0.99455,0.99182,0.09201,0.08099,0.78041,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
5,41543.4,0.12853,0.17674,0.77521,0.99956,0.99829,0.99456,0.99177,0.09113,0.07586,0.78025,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
6,49182.3,0.12269,0.15835,0.77377,0.99959,0.99843,0.99459,0.99185,0.09002,0.07295,0.78076,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
7,56816.5,0.11701,0.14503,0.77254,0.99961,0.99849,0.99457,0.99188,0.0882,0.07074,0.78079,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
8,64471.2,0.11119,0.13012,0.77087,0.99962,0.99852,0.99458,0.99198,0.08629,0.06863,0.78084,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
9,72217.7,0.10315,0.11317,0.76876,0.99967,0.99854,0.99458,0.99203,0.08428,0.0666,0.78087,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
10,80011.7,0.09421,0.09867,0.76667,0.99969,0.99854,0.99458,0.99212,0.08223,0.06489,0.78121,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
