epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,34609,0.21279,1.77753,0.86847,0.99953,0.99853,0.99468,0.99278,0.10135,0.09205,0.78829,0.00999993,0.00333331,0.00999993,0.00333331,0.00999993,0.00333331,0.00999993,0.00333331
2,64523,0.19164,0.58467,0.84521,0.99927,0.99889,0.99485,0.99216,0.12235,0.09697,0.79515,0.0196039,0.00653464,0.0196039,0.00653464,0.0196039,0.00653464,0.0196039,0.00653464
3,93295.5,0.18834,0.54004,0.8436,0.99824,0.99871,0.99485,0.99129,0.13899,0.23452,0.80616,0.0288119,0.00960398,0.0288119,0.00960398,0.0288119,0.00960398,0.0288119,0.00960398
4,121243,0.18035,0.50025,0.84061,0.99822,0.99861,0.99485,0.99257,0.12148,0.19526,0.79937,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,148873,0.17061,0.45879,0.8365,0.99919,0.99891,0.99485,0.99355,0.08965,0.09526,0.78443,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,28515.6,0.17074,0.45816,0.83647,0.99942,0.99895,0.99483,0.99352,0.08266,0.06999,0.783,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,57375.5,0.16565,0.43936,0.83438,0.99939,0.99899,0.99483,0.99355,0.08035,0.06568,0.78323,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,86292.9,0.16255,0.42891,0.83345,0.99943,0.99899,0.99484,0.99354,0.07857,0.06396,0.78315,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,114705,0.16011,0.42094,0.83249,0.9995,0.99898,0.99484,0.99359,0.07731,0.06304,0.78288,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,143664,0.15672,0.41401,0.83146,0.99952,0.99902,0.99484,0.99363,0.07462,0.06131,0.78258,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,172311,0.15344,0.40609,0.83107,0.99959,0.99904,0.99483,0.99368,0.07121,0.05947,0.78219,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,200996,0.15054,0.40061,0.83045,0.99961,0.99901,0.99483,0.99371,0.06746,0.05783,0.78188,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,229661,0.14887,0.39635,0.82983,0.9996,0.99905,0.99483,0.9937,0.06564,0.05696,0.78161,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,258305,0.1473,0.39132,0.82965,0.99961,0.99905,0.99484,0.99374,0.06472,0.05653,0.78142,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,286951,0.14599,0.3888,0.8291,0.9996,0.99904,0.99484,0.99373,0.06422,0.05611,0.78176,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,315627,inf,0.38398,0.82842,0.99961,0.99905,0.99483,0.99375,0.06294,0.05493,0.78137,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,344277,0.14308,0.38128,0.8284,0.99965,0.99904,0.99485,0.99377,0.06226,0.05437,0.78118,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,372935,0.14217,0.37815,0.82822,0.99966,0.99905,0.99484,0.99377,0.06181,0.05412,0.78124,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,401597,0.14126,0.37594,0.82778,0.99968,0.99904,0.99485,0.99373,0.06201,0.0544,0.78158,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,430257,0.13976,0.37093,0.827,0.99969,0.99906,0.99485,0.9937,0.06102,0.0538,0.78126,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,458924,0.13793,0.36806,0.8266,0.99969,0.99904,0.99486,0.99375,0.06032,0.05283,0.78111,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,487581,0.13741,0.36398,0.82647,0.99967,0.99905,0.99485,0.99381,0.0599,0.05304,0.78114,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,516231,inf,0.36128,0.82582,0.99967,0.99904,0.99486,0.99376,0.05997,0.05257,0.78163,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
