epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,683.408,0.4036,3.53481,0.90663,0.34751,0.09737,0.13413,0.12966,0.17629,3.31616,0.80327,0.000764555,0.000254852,0.000764555,0.000254852,0.000764555,0.000254852,0.000764555,0.000254852
2,1104.36,0.31716,3.06725,0.87615,0.13642,0.75524,0.18096,0.1782,0.15949,2.68855,0.79696,0.00145764,0.000485881,0.00145764,0.000485881,0.00145764,0.000485881,0.00145764,0.000485881
3,1460.81,0.299,2.5377,0.86146,0.31808,0.68564,0.41482,0.41322,0.17326,2.25605,0.80341,0.0020746,0.000691534,0.0020746,0.000691534,0.0020746,0.000691534,0.0020746,0.000691534
4,1770.92,0.26833,2.06858,0.84978,0.5574,0.75768,0.75915,0.75443,0.1603,1.65429,0.80172,0.00196441,0.000654804,0.00196441,0.000654804,0.00196441,0.000654804,0.00196441,0.000654804
5,2040.26,0.25501,1.63171,0.84563,0.94666,0.95008,0.96422,0.96333,0.14011,1.10165,0.79481,0.00185021,0.000616738,0.00185021,0.000616738,0.00185021,0.000616738,0.00185021,0.000616738
6,2349.17,0.23474,1.24732,0.83793,0.99749,0.99767,0.99497,0.99326,0.13791,0.78121,0.79321,0.00173602,0.000578672,0.00173602,0.000578672,0.00173602,0.000578672,0.00173602,0.000578672
7,2681.1,0.21684,1.00715,0.82798,0.99816,0.99939,0.995,0.99459,0.12525,0.67226,0.78913,0.00162182,0.000540607,0.00162182,0.000540607,0.00162182,0.000540607,0.00162182,0.000540607
8,3016.86,0.20885,0.89259,0.82642,0.99896,0.99944,0.995,0.99444,0.1189,0.61163,0.78777,0.00150762,0.000502541,0.00150762,0.000502541,0.00150762,0.000502541,0.00150762,0.000502541
9,3348.79,0.19886,0.8171,0.82284,0.99887,1,0.995,0.99487,0.10971,0.58111,0.78676,0.00139343,0.000464476,0.00139343,0.000464476,0.00139343,0.000464476,0.00139343,0.000464476
10,3684.13,0.18566,0.7535,0.82079,0.99878,1,0.995,0.99484,0.10021,0.57323,0.78571,0.00127923,0.000426411,0.00127923,0.000426411,0.00127923,0.000426411,0.00127923,0.000426411
11,4015.29,0.13125,0.71421,0.77255,0.99928,1,0.995,0.995,0.10506,0.54169,0.78437,0.00116504,0.000388345,0.00116504,0.000388345,0.00116504,0.000388345,0.00116504,0.000388345
12,4343.86,0.12275,0.66937,0.7668,0.99924,1,0.995,0.995,0.09684,0.52043,0.78321,0.00105084,0.00035028,0.00105084,0.00035028,0.00105084,0.00035028,0.00105084,0.00035028
13,4676.86,0.11368,0.63686,0.76358,0.9992,1,0.995,0.995,0.09221,0.50305,0.78267,0.000936642,0.000312214,0.000936642,0.000312214,0.000936642,0.000312214,0.000936642,0.000312214
14,5013.06,0.11144,0.62002,0.76173,0.99929,1,0.995,0.995,0.08747,0.48509,0.78271,0.000822445,0.000274148,0.000822445,0.000274148,0.000822445,0.000274148,0.000822445,0.000274148
15,5342.5,0.10796,0.60618,0.76716,0.99936,1,0.995,0.995,0.08712,0.47611,0.78256,0.000708249,0.000236083,0.000708249,0.000236083,0.000708249,0.000236083,0.000708249,0.000236083
16,5675.88,0.10212,0.59299,0.76551,0.99931,1,0.995,0.995,0.08217,0.46443,0.78214,0.000594053,0.000198018,0.000594053,0.000198018,0.000594053,0.000198018,0.000594053,0.000198018
17,6004.2,0.09927,0.58014,0.76144,0.99933,1,0.995,0.995,0.08178,0.45652,0.78174,0.000479856,0.000159952,0.000479856,0.000159952,0.000479856,0.000159952,0.000479856,0.000159952
18,6336.47,0.09913,0.57382,0.7657,0.99931,1,0.995,0.995,0.08011,0.45435,0.78214,0.00036566,0.000121887,0.00036566,0.000121887,0.00036566,0.000121887,0.00036566,0.000121887
19,6668.19,0.09595,0.56574,0.76105,0.99932,1,0.995,0.995,0.07934,0.44833,0.78181,0.000251463,8.3821e-05,0.000251463,8.3821e-05,0.000251463,8.3821e-05,0.000251463,8.3821e-05
20,6991.61,0.09342,0.56141,0.76463,0.99927,1,0.995,0.995,0.07768,0.44407,0.78178,0.000137267,4.57555e-05,0.000137267,4.57555e-05,0.000137267,4.57555e-05,0.000137267,4.57555e-05
